 Dates,Types,Andhra Pradesh,Andaman and Nicobar Islands,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telengana,Tripura,Uttarakhand,Uttar Pradesh,West Bengal,Totals
10-Mar,TCIN,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,9,2,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,9,0,31
10-Mar,TCFN,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16
10-Mar,Cured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Mar,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-Mar,TCIN,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,4,17,2,0,2,0,0,0,0,0,0,1,1,0,1,1,0,0,9,0,44
11-Mar,TCFN,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16
11-Mar,Cured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-Mar,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Mar,TCIN,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,4,17,3,0,11,0,0,0,0,0,0,1,1,0,1,1,0,0,10,0,57
12-Mar,TCFN,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,17
12-Mar,Cured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
12-Mar,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Mar,TCIN,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,6,19,3,0,14,0,0,0,0,0,0,1,1,0,1,1,0,0,10,0,64
13-Mar,TCFN,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,17
13-Mar,Cured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
13-Mar,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14-Mar,TCIN,1,0,0,0,0,0,0,0,7,0,0,0,0,2,0,6,19,3,0,14,0,0,0,0,0,0,1,1,0,1,1,0,0,11,0,67
14-Mar,TCFN,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,17
14-Mar,Cured,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,10
14-Mar,Death,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
15-Mar,TCIN,1,0,0,0,0,0,0,0,7,0,0,0,0,2,0,6,22,3,0,32,0,0,0,0,0,0,1,2,0,1,3,0,1,12,0,93
15-Mar,TCFN,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,17
15-Mar,Cured,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,4,0,13
15-Mar,Death,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
16-Mar,TCIN,1,0,0,0,0,0,0,0,7,0,0,0,0,3,0,6,23,4,0,32,0,0,0,0,1,0,1,2,0,1,3,0,1,12,0,97
16-Mar,TCFN,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,17
16-Mar,Cured,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,4,0,13
16-Mar,Death,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
17-Mar,TCIN,1,0,0,0,0,0,0,0,8,0,0,1,0,3,0,11,24,6,0,36,0,0,0,0,1,0,1,2,0,1,3,0,1,14,0,113
17-Mar,TCFN,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,24
17-Mar,Cured,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,5,0,14
17-Mar,Death,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
18-Mar,TCIN,1,0,0,0,0,0,0,0,9,0,0,3,0,3,0,11,25,8,0,39,0,0,0,0,1,1,1,2,0,1,4,0,1,15,1,126
18-Mar,TCFN,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,25
18-Mar,Cured,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,5,0,14
18-Mar,Death,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
19-Mar,TCIN,2,0,0,0,0,1,1,0,11,0,0,3,0,4,0,14,25,8,0,44,0,0,0,0,1,1,2,5,0,2,4,0,1,18,1,148
19-Mar,TCFN,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,25
19-Mar,Cured,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,9,0,20
19-Mar,Death,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
20-Mar,TCIN,3,0,0,0,0,1,1,0,16,0,5,3,0,4,0,15,26,10,0,49,0,0,0,0,2,1,2,15,0,3,8,0,3,22,2,191
20-Mar,TCFN,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,2,0,0,9,0,0,1,0,32
20-Mar,Cured,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,9,0,23
20-Mar,Death,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
21-Mar,TCIN,3,0,0,0,0,1,1,0,25,0,7,3,2,4,0,15,33,13,4,60,0,0,0,0,2,1,13,15,0,3,10,0,3,23,3,244
21-Mar,TCFN,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,2,0,0,11,0,0,1,0,39
21-Mar,Cured,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,9,0,23
21-Mar,Death,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
22-Mar,TCIN,5,0,0,0,2,5,1,0,28,0,18,7,2,4,0,26,45,13,4,64,0,0,0,0,2,1,21,22,0,5,11,0,3,26,4,319
22-Mar,TCFN,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,2,0,2,11,0,0,1,0,41
22-Mar,Cured,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,9,0,24
